Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAgg,FineAgg,AgeDays,W.C,StrengthMPa
362.6,189,0,164.9,11.6,944.7,755.8,3,0.454771098,35.3
439,177,0,186,11.1,884.9,707.9,3,0.423690205,39.3
389.9,189,0,145.9,22,944.7,755.8,3,0.374198512,40.6
362.6,189,0,164.9,11.6,944.7,755.8,3,0.454771098,35.3
337.9,189,0,174.9,9.5,944.7,755.8,3,0.51760876,24.1
374,189.2,0,170.1,10.1,926.1,756.7,7,0.454812834,46.2
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,0.560165975,42.8
425,106.3,0,153.5,16.5,852.1,887.1,7,0.361176471,49.2
425,106.3,0,151.4,18.6,936,803.7,7,0.356235294,46.8
475,118.8,0,181.1,8.9,852.1,781.5,7,0.381263158,55.6
425,106.3,0,153.5,16.5,852.1,887.1,7,0.361176471,49.2
388.6,97.1,0,157.9,12.1,852.1,925.7,7,0.406330417,34.9
425,106.3,0,153.5,16.5,852.1,887.1,7,0.361176471,49.2
318.8,212.5,0,155.7,14.3,852.1,880.4,7,0.488393977,33.4
401.8,94.7,0,147.4,11.4,946.8,852.1,7,0.366849179,54.1
362.6,189,0,164.9,11.6,944.7,755.8,7,0.454771098,55.9
323.7,282.8,0,183.8,10.3,942.7,659.9,7,0.5678097,49.8
379.5,151.2,0,153.9,15.9,1134.3,605,7,0.405533597,47.1
362.6,189,0,164.9,11.6,944.7,755.8,7,0.454771098,55.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,0.505413902,38
362.6,189,0,164.9,11.6,944.7,755.8,7,0.454771098,55.9
439,177,0,186,11.1,884.9,707.9,7,0.423690205,56.1
389.9,189,0,145.9,22,944.7,755.8,7,0.374198512,59.09
362.6,189,0,164.9,11.6,944.7,755.8,7,0.454771098,22.9
337.9,189,0,174.9,9.5,944.7,755.8,7,0.51760876,35.1
374,189.2,0,170.1,10.1,926.1,756.7,28,0.454812834,61.09
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,0.560165975,59.8
425,106.3,0,153.5,16.5,852.1,887.1,28,0.361176471,60.29
425,106.3,0,151.4,18.6,936,803.7,28,0.356235294,61.8
475,118.8,0,181.1,8.9,852.1,781.5,28,0.381263158,68.3
425,106.3,0,153.5,16.5,852.1,887.1,28,0.361176471,60.29
388.6,97.1,0,157.9,12.1,852.1,925.7,28,0.406330417,50.7
425,106.3,0,153.5,16.5,852.1,887.1,28,0.361176471,60.29
318.8,212.5,0,155.7,14.3,852.1,880.4,28,0.488393977,55.5
401.8,94.7,0,147.4,11.4,946.8,852.1,28,0.366849179,68.5
362.6,189,0,164.9,11.6,944.7,755.8,28,0.454771098,71.3
323.7,282.8,0,183.8,10.3,942.7,659.9,28,0.5678097,74.7
379.5,151.2,0,153.9,15.9,1134.3,605,28,0.405533597,52.2
362.6,189,0,164.9,11.6,944.7,755.8,28,0.454771098,71.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,0.505413902,67.7
362.6,189,0,164.9,11.6,944.7,755.8,28,0.454771098,71.3
439,177,0,186,11.1,884.9,707.9,28,0.423690205,66
389.9,189,0,145.9,22,944.7,755.8,28,0.374198512,74.5
362.6,189,0,164.9,11.6,944.7,755.8,28,0.454771098,71.3
337.9,189,0,174.9,9.5,944.7,755.8,28,0.51760876,49.9
374,189.2,0,170.1,10.1,926.1,756.7,56,0.454812834,63.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,0.560165975,64.9
425,106.3,0,153.5,16.5,852.1,887.1,56,0.361176471,64.3
425,106.3,0,151.4,18.6,936,803.7,56,0.356235294,64.9
475,118.8,0,181.1,8.9,852.1,781.5,56,0.381263158,72.3
425,106.3,0,153.5,16.5,852.1,887.1,56,0.361176471,64.3
388.6,97.1,0,157.9,12.1,852.1,925.7,56,0.406330417,55.2
425,106.3,0,153.5,16.5,852.1,887.1,56,0.361176471,64.3
318.8,212.5,0,155.7,14.3,852.1,880.4,56,0.488393977,66.1
401.8,94.7,0,147.4,11.4,946.8,852.1,56,0.366849179,73.7
379.5,151.2,0,153.9,15.9,1134.3,605,56,0.405533597,54.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,0.505413902,72.99
439,177,0,186,11.1,884.9,707.9,56,0.423690205,71.7
337.9,189,0,174.9,9.5,944.7,755.8,56,0.51760876,59.89
374,189.2,0,170.1,10.1,926.1,756.7,91,0.454812834,64.9
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,0.560165975,66.6
425,106.3,0,153.5,16.5,852.1,887.1,91,0.361176471,65.2
425,106.3,0,151.4,18.6,936,803.7,91,0.356235294,66.7
475,118.8,0,181.1,8.9,852.1,781.5,91,0.381263158,74.19
425,106.3,0,153.5,16.5,852.1,887.1,91,0.361176471,65.2
388.6,97.1,0,157.9,12.1,852.1,925.7,91,0.406330417,57.6
425,106.3,0,153.5,16.5,852.1,887.1,91,0.361176471,65.2
318.8,212.5,0,155.7,14.3,852.1,880.4,91,0.488393977,68.1
401.8,94.7,0,147.4,11.4,946.8,852.1,91,0.366849179,75.5
379.5,151.2,0,153.9,15.9,1134.3,605,91,0.405533597,56.5
439,177,0,186,11.1,884.9,707.9,91,0.423690205,73.3
337.9,189,0,174.9,9.5,944.7,755.8,91,0.51760876,67.8
222.4,0,96.7,189.3,4.5,967.1,870.3,3,0.851169065,11.58
222.4,0,96.7,189.3,4.5,967.1,870.3,14,0.851169065,24.45
222.4,0,96.7,189.3,4.5,967.1,870.3,28,0.851169065,24.89
222.4,0,96.7,189.3,4.5,967.1,870.3,56,0.851169065,29.45
222.4,0,96.7,189.3,4.5,967.1,870.3,100,0.851169065,40.71
233.8,0,94.6,197.9,4.6,947,852.2,3,0.846449957,10.38
233.8,0,94.6,197.9,4.6,947,852.2,14,0.846449957,22.14
233.8,0,94.6,197.9,4.6,947,852.2,28,0.846449957,22.84
233.8,0,94.6,197.9,4.6,947,852.2,56,0.846449957,27.66
233.8,0,94.6,197.9,4.6,947,852.2,100,0.846449957,34.56
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,0.850539291,12.45
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,0.850539291,24.99
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,0.850539291,25.72
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,0.850539291,33.96
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,0.850539291,37.34
190.7,0,125.4,162.1,7.8,1090,804,3,0.850026219,15.04
190.7,0,125.4,162.1,7.8,1090,804,14,0.850026219,21.06
190.7,0,125.4,162.1,7.8,1090,804,28,0.850026219,26.4
190.7,0,125.4,162.1,7.8,1090,804,56,0.850026219,35.34
190.7,0,125.4,162.1,7.8,1090,804,100,0.850026219,40.57
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,0.850070721,12.47
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,0.850070721,20.92
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,0.850070721,24.9
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,0.850070721,34.2
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,0.850070721,39.61
230,0,118.3,195.5,4.6,1029.4,758.6,3,0.85,10.03
230,0,118.3,195.5,4.6,1029.4,758.6,14,0.85,20.08
230,0,118.3,195.5,4.6,1029.4,758.6,28,0.85,24.48
230,0,118.3,195.5,4.6,1029.4,758.6,56,0.85,31.54
230,0,118.3,195.5,4.6,1029.4,758.6,100,0.85,35.34
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,0.850761955,9.45
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,0.850761955,22.72
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,0.850761955,28.47
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,0.850761955,38.56
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,0.850761955,40.39
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,1.062612884,10.76
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,1.062612884,25.48
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,1.062612884,21.54
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,1.062612884,28.63
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,1.062612884,33.54
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,0.85025737,18
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,0.85025737,30.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,0.85025737,45.71
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,0.85025737,50.77
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,0.85025737,53.9
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,0.849859682,13.18
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,0.849859682,17.84
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,0.849859682,40.23
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,0.849859682,47.13
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,0.849859682,49.97
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,0.849804092,13.36
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,0.849804092,22.32
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,0.849804092,24.54
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,0.849804092,31.35
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,0.849804092,40.86
238.1,0,94.1,186.7,7,949.9,847,3,0.784124318,19.93
238.1,0,94.1,186.7,7,949.9,847,14,0.784124318,25.69
238.1,0,94.1,186.7,7,949.9,847,28,0.784124318,30.23
238.1,0,94.1,186.7,7,949.9,847,56,0.784124318,39.59
238.1,0,94.1,186.7,7,949.9,847,100,0.784124318,44.3
250,0,95.7,187.4,5.5,956.9,861.2,3,0.7496,13.82
250,0,95.7,187.4,5.5,956.9,861.2,14,0.7496,24.92
250,0,95.7,187.4,5.5,956.9,861.2,28,0.7496,29.22
250,0,95.7,187.4,5.5,956.9,861.2,56,0.7496,38.33
250,0,95.7,187.4,5.5,956.9,861.2,100,0.7496,42.35
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,0.749647059,13.54
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,0.749647059,26.31
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,0.749647059,31.64
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,0.749647059,42.55
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,0.749647059,42.92
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,0.749764817,13.33
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,0.749764817,25.37
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,0.749764817,37.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,0.749764817,44.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,0.749764817,47.74
212,0,124.8,159,7.8,1085.4,799.5,3,0.75,19.52
212,0,124.8,159,7.8,1085.4,799.5,14,0.75,31.35
212,0,124.8,159,7.8,1085.4,799.5,28,0.75,38.5
212,0,124.8,159,7.8,1085.4,799.5,56,0.75,45.08
212,0,124.8,159,7.8,1085.4,799.5,100,0.75,47.82
231.8,0,121.6,174,6.7,1056.4,778.5,3,0.75064711,15.44
231.8,0,121.6,174,6.7,1056.4,778.5,14,0.75064711,26.77
231.8,0,121.6,174,6.7,1056.4,778.5,28,0.75064711,33.73
231.8,0,121.6,174,6.7,1056.4,778.5,56,0.75064711,42.7
231.8,0,121.6,174,6.7,1056.4,778.5,100,0.75064711,45.84
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,0.749801114,17.22
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,0.749801114,29.93
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,0.749801114,29.65
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,0.749801114,36.97
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,0.749801114,43.58
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,0.749801114,13.12
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,0.749801114,24.43
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,0.749801114,32.66
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,0.749801114,36.64
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,0.749801114,44.21
181.4,0,167,169.6,7.6,1055.6,777.8,3,0.934950386,13.62
181.4,0,167,169.6,7.6,1055.6,777.8,14,0.934950386,21.6
181.4,0,167,169.6,7.6,1055.6,777.8,28,0.934950386,27.77
181.4,0,167,169.6,7.6,1055.6,777.8,56,0.934950386,35.57
181.4,0,167,169.6,7.6,1055.6,777.8,100,0.934950386,45.37
182,45.2,122,170.2,8.2,1059.4,780.7,3,0.935164835,7.32
182,45.2,122,170.2,8.2,1059.4,780.7,14,0.935164835,21.5
182,45.2,122,170.2,8.2,1059.4,780.7,28,0.935164835,31.27
182,45.2,122,170.2,8.2,1059.4,780.7,56,0.935164835,43.5
182,45.2,122,170.2,8.2,1059.4,780.7,100,0.935164835,48.67
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,0.937240971,7.4
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,0.937240971,23.51
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,0.937240971,31.12
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,0.937240971,39.15
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,0.937240971,48.15
290.4,0,96.2,168.1,9.4,961.2,865,3,0.578856749,22.5
290.4,0,96.2,168.1,9.4,961.2,865,14,0.578856749,34.67
290.4,0,96.2,168.1,9.4,961.2,865,28,0.578856749,34.74
290.4,0,96.2,168.1,9.4,961.2,865,56,0.578856749,45.08
290.4,0,96.2,168.1,9.4,961.2,865,100,0.578856749,48.97
277.1,0,97.4,160.6,11.8,973.9,875.6,3,0.579574161,23.14
277.1,0,97.4,160.6,11.8,973.9,875.6,14,0.579574161,41.89
277.1,0,97.4,160.6,11.8,973.9,875.6,28,0.579574161,48.28
277.1,0,97.4,160.6,11.8,973.9,875.6,56,0.579574161,51.04
277.1,0,97.4,160.6,11.8,973.9,875.6,100,0.579574161,55.64
295.7,0,95.6,171.5,8.9,955.1,859.2,3,0.579979709,22.95
295.7,0,95.6,171.5,8.9,955.1,859.2,14,0.579979709,35.23
295.7,0,95.6,171.5,8.9,955.1,859.2,28,0.579979709,39.94
295.7,0,95.6,171.5,8.9,955.1,859.2,56,0.579979709,48.72
295.7,0,95.6,171.5,8.9,955.1,859.2,100,0.579979709,52.04
251.8,0,99.9,146.1,12.4,1006,899.8,3,0.580222399,21.02
251.8,0,99.9,146.1,12.4,1006,899.8,14,0.580222399,33.36
251.8,0,99.9,146.1,12.4,1006,899.8,28,0.580222399,33.94
251.8,0,99.9,146.1,12.4,1006,899.8,56,0.580222399,44.14
251.8,0,99.9,146.1,12.4,1006,899.8,100,0.580222399,45.37
249.1,0,98.8,158.1,12.8,987.8,889,3,0.634684866,15.36
249.1,0,98.8,158.1,12.8,987.8,889,14,0.634684866,28.68
249.1,0,98.8,158.1,12.8,987.8,889,28,0.634684866,30.85
249.1,0,98.8,158.1,12.8,987.8,889,56,0.634684866,42.03
249.1,0,98.8,158.1,12.8,987.8,889,100,0.634684866,51.06
252.3,0,98.8,146.3,14.2,987.8,889,3,0.57986524,21.78
252.3,0,98.8,146.3,14.2,987.8,889,14,0.57986524,42.29
252.3,0,98.8,146.3,14.2,987.8,889,28,0.57986524,50.6
252.3,0,98.8,146.3,14.2,987.8,889,56,0.57986524,55.83
252.3,0,98.8,146.3,14.2,987.8,889,100,0.57986524,60.95
246.8,0,125.1,143.3,12,1086.8,800.9,3,0.580632091,23.52
246.8,0,125.1,143.3,12,1086.8,800.9,14,0.580632091,42.22
246.8,0,125.1,143.3,12,1086.8,800.9,28,0.580632091,52.5
246.8,0,125.1,143.3,12,1086.8,800.9,56,0.580632091,60.32
246.8,0,125.1,143.3,12,1086.8,800.9,100,0.580632091,66.42
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,0.579789168,23.8
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,0.579789168,38.77
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,0.579789168,51.33
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,0.579789168,56.85
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,0.579789168,58.61
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,0.588156124,21.91
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,0.588156124,36.99
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,0.588156124,47.4
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,0.588156124,51.96
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,0.588156124,56.74
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,0.724379972,17.57
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,0.724379972,33.73
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,0.724379972,40.15
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,0.724379972,46.64
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,0.724379972,50.08
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,0.72412178,17.37
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,0.72412178,33.7
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,0.72412178,45.94
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,0.72412178,51.43
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,0.72412178,59.3
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,0.57972583,30.45
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,0.57972583,47.71
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,0.57972583,63.14
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,0.57972583,66.82
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,0.57972583,66.95
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,0.64527956,27.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,0.64527956,35.96
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,0.64527956,55.51
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,0.64527956,61.99
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,0.64527956,63.53
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,0.724057701,18.02
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,0.724057701,38.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,0.724057701,52.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,0.724057701,53.96
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,0.724057701,56.63
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,0.72407492,15.34
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,0.72407492,26.05
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,0.72407492,30.22
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,0.72407492,37.27
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,0.72407492,46.23
376,0,0,214.6,0,1003.5,762.4,3,0.570744681,16.28
376,0,0,214.6,0,1003.5,762.4,14,0.570744681,25.62
376,0,0,214.6,0,1003.5,762.4,28,0.570744681,31.97
376,0,0,214.6,0,1003.5,762.4,56,0.570744681,36.3
376,0,0,214.6,0,1003.5,762.4,100,0.570744681,43.06
500,0,0,140,4,966,853,28,0.28,67.57
475,0,59,142,1.9,1098,641,28,0.298947368,57.23
505,0,60,195,0,1030,630,28,0.386138614,64.02
516,0,0,162,8.2,801,802,28,0.313953488,41.37
520,0,0,170,5.2,855,855,28,0.326923077,60.28
528,0,0,185,6.9,920,720,28,0.350378788,56.83
520,0,0,175,5.2,870,805,28,0.336538462,51.02
385,0,136,158,20,903,768,28,0.41038961,55.55
500.1,0,0,200,3,1124.4,613.2,28,0.399920016,44.13
450.1,50,0,200,3,1124.4,613.2,28,0.444345701,39.38
397,17.2,158,167,20.8,967,633,28,0.420654912,55.65
333,17.5,163,167,17.9,996,652,28,0.501501502,47.28
334,17.6,158,189,15.3,967,633,28,0.565868263,44.33
405,0,0,175,0,1120,695,28,0.432098765,52.3
200,200,0,190,0,1145,660,28,0.95,49.25
516,0,0,162,8.3,801,802,28,0.313953488,41.37
145,116,119,184,5.7,833,880,28,1.268965517,29.16
160,128,122,182,6.4,824,879,28,1.1375,39.4
234,156,0,189,5.9,981,760,28,0.807692308,39.3
250,180,95,159,9.5,860,800,28,0.636,67.87
475,0,0,162,9.5,1044,662,28,0.341052632,58.52
285,190,0,163,7.6,1031,685,28,0.571929825,53.58
356,119,0,160,9,1061,657,28,0.449438202,59
275,180,120,162,10.4,830,765,28,0.589090909,76.24
500,0,0,151,9,1033,655,28,0.302,69.84
165,0,143.6,163.8,0,1005.6,900.9,3,0.992727273,14.4
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,1.061212121,19.42
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,1.010674157,20.73
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,1.048387097,14.94
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,0.909512761,21.29
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,0.949855908,23.08
167,75.4,167,164,7.9,1007.3,770.1,3,0.982035928,15.52
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,0.99136939,15.82
190.3,0,125.2,166.6,9.9,1079,798.9,3,0.8754598,12.55
250,0,95.7,191.8,5.3,948.9,857.2,3,0.7672,8.49
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,0.745667447,15.61
194.7,0,100.5,170.2,7.5,998,901.8,3,0.874165383,12.18
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,0.767303103,11.98
165,0,143.6,163.8,0,1005.6,900.9,14,0.992727273,16.88
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,1.061212121,33.09
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,1.010674157,34.24
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,1.048387097,31.81
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,0.909512761,29.75
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,0.949855908,33.01
167,75.4,167,164,7.9,1007.3,770.1,14,0.982035928,32.9
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,0.99136939,29.55
190.3,0,125.2,166.6,9.9,1079,798.9,14,0.8754598,19.42
250,0,95.7,191.8,5.3,948.9,857.2,14,0.7672,24.66
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,0.745667447,29.59
